dma_id,rank,dma_name,tv_homes,percent_usa
500,80,Portland-Auburn,389530,0.341
501,1,New York,7384340,6.468
502,157,Binghamton,133420,0.117
503,120,Macon,241170,0.211
504,4,Philadelphia,2949310,2.583
505,11,Detroit,1845920,1.617
506,7,Boston (Manchester),2366690,2.073
507,92,Savannah,334750,0.293
508,23,Pittsburgh,1165740,1.021
509,109,Ft. Wayne,265390,0.232
510,18,Cleveland-Akron (Canton),1485140,1.301
511,8,"Washington, DC (Hagrstwn)",2359160,2.066
512,27,Baltimore,1085070,0.950
513,67,Flint-Saginaw-Bay City,446010,0.391
514,52,Buffalo,632150,0.554
515,35,Cincinnati,897890,0.786
516,146,Erie,155190,0.136
517,25,Charlotte,1136420,0.995
518,46,Greensboro-H.Point-W.Salem,695100,0.609
519,98,"Charleston, SC",316080,0.277
520,113,Augusta-Aiken,257730,0.226
521,53,Providence-New Bedford,606400,0.531
522,127,"Columbus, GA (Opelika, AL)",216920,0.190
523,97,Burlington-Plattsburgh,316910,0.278
524,9,Atlanta,2326840,2.038
525,150,"Albany, GA",150110,0.131
526,172,Utica,102890,0.090
527,26,Indianapolis,1089700,0.954
528,16,Miami-Ft. Lauderdale,1621130,1.420
529,48,Louisville,670880,0.588
530,106,Tallahassee-Thomasville,273120,0.239
531,96,"Tri-Cities, TN-VA",319060,0.279
532,58,Albany-Schenectady-Troy,540050,0.473
533,30,Hartford & New Haven,996550,0.873
534,19,Orlando-Daytona Bch-Melbrn,1453170,1.273
535,32,"Columbus, OH",930460,0.815
536,110,Youngstown,260000,0.228
537,155,Bangor,138040,0.121
538,78,"Rochester, NY",395680,0.347
539,14,Tampa-St. Pete (Sarasota),1806560,1.582
540,119,Traverse City-Cadillac,241800,0.212
541,64,Lexington,485630,0.425
542,63,Dayton,498270,0.436
543,114,Springfield-Holyoke,252950,0.222
544,44,Norfolk-Portsmth-Newpt Nws,709730,0.622
545,100,Greenville-N.Bern-Washngtn,303280,0.266
546,77,"Columbia, SC",398510,0.349
547,76,Toledo,409550,0.359
548,38,West Palm Beach-Ft. Pierce,794310,0.696
549,177,Watertown,92590,0.081
550,132,Wilmington,188420,0.165
551,115,Lansing,251140,0.220
552,205,Presque Isle,29250,0.026
553,180,Marquette,84640,0.074
554,158,Wheeling-Steubenville,130110,0.114
555,84,Syracuse,377550,0.331
556,57,Richmond-Petersburg,553390,0.485
557,61,Knoxville,520890,0.456
558,199,Lima,51240,0.045
559,156,Bluefield-Beckley-Oak Hill,134410,0.118
560,24,Raleigh-Durham (Fayetvlle),1150350,1.008
561,50,Jacksonville,659170,0.577
563,39,Grand Rapids-Kalmzoo-B.Crk,720150,0.631
564,65,Charleston-Huntington,455490,0.399
565,174,Elmira (Corning),95530,0.084
566,43,Harrisburg-Lncstr-Leb-York,716990,0.628
567,37,Greenvll-Spart-Ashevll-And,846030,0.741
569,178,Harrisonburg,90260,0.079
570,103,Myrtle Beach-Florence,285550,0.250
571,62,Ft. Myers-Naples,502050,0.440
573,68,Roanoke-Lynchburg,445470,0.390
574,102,Johnstown-Altoona-St Colge,288100,0.252
575,87,Chattanooga,353710,0.310
576,144,Salisbury,157830,0.138
